Details,State,Found In CSV
Nike Soccer Camp at Hood College,maryland,Yes
Nike Soccer Camp in Gambrills,maryland,Yes
Nike Soccer Camp in Glen Burnie,maryland,Yes
Nike Soccer Camp in Hagerstown Fieldhouse,maryland,Yes
Nike Soccer Camp at Stevenson University,maryland,Yes
Nike Soccer Camp with Next Star - Sofive Rockville &amp; Master Skills Clinics,maryland,Yes
Nike Soccer Camp at Washington Adventist University,maryland,Yes
Nike Girls Soccer Camp at McDaniel College,maryland,No
Nike Soccer Camp at Merrimack College,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Attleboro,massachusetts,Yes
Nike Soccer Camp at Endicott College,massachusetts,No
Nike Soccer Camp at Winsor School,massachusetts,Yes
Nike Soccer Camp at Thayer Sports Center,massachusetts,Yes
Nike Soccer Camp at Liverpool FC International Academy - Mass. Maritime Academy,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Dedham,massachusetts,No
Nike Soccer Camp at Charles River School,massachusetts,Yes
Nike Soccer Camp at Framingham State University,massachusetts,Yes
Nike Soccer Camp at Georgetown High School,massachusetts,Yes
Nike Soccer Camp at Derby Academy,massachusetts,Yes
Nike Soccer Camp at Brookwood School,massachusetts,Yes
Nike Soccer Camp at Fore Kicks II Sports Complex,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Medway,massachusetts,No
Nike Soccer Camps at Milton Academy,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Natick,massachusetts,Yes
Nike Soccer Camp powered by Steel Sports - Olin College,massachusetts,Yes
Nike Soccer Camp at Newton South High School,massachusetts,Yes
Nike Soccer Camp at Liverpool FC International Academy - Cape Cod Academy,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Raynham,massachusetts,Yes
Nike Soccer Camp with Beestera Soccer Training - Mount Holyoke College,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Tewksbury,massachusetts,Yes
Nike Soccer Camp with Beestera Soccer Training - Tyngsborough,massachusetts,Yes
Nike Soccer Camp with Next Step Training - Weymouth,massachusetts,Yes
Nike Soccer Camp at Worcester State University,massachusetts,Yes
Nike Soccer Camp with Liverpool FC International Academy - Ann Arbor,michigan,Yes
Nike Soccer Camp at University of Detroit Mercy,michigan,Yes
Nike Soccer Camp in Fenton,michigan,Yes
Nike Soccer Camp at Liverpool FC International Academy - South Oakland,michigan,Yes
