State,City,Camp Name (JSON),Event Details (CSV),Matched
florida,Orlando,Nike Soccer Camp with DivineTime Fantasy Fútbol - Orlando,Nike Soccer Camp with DivineTime Fantasy Fútbol - Orlando,True
florida,Saint Leo,Nike Soccer Camp at Saint Leo University,Nike Soccer Camp at Saint Leo University,True
florida,Sarasota,Nike Soccer Camp at New College of Florida,Nike Soccer Camp at New College of Florida,True
florida,St. Augustine,Nike Soccer Camp with Beestera Soccer Training - Jacksonville,Nike Soccer Camp with Beestera Soccer Training - Jacksonville,True
florida,St. Petersburg,Nike Soccer Camp at Eckerd College,Nike Soccer Camp at Eckerd College,True
florida,Tampa,Nike Soccer Camp at the University of South Florida,Nike Soccer Camp at the University of South Florida,True
florida,Winter Park,Nike Boys Soccer Camp at Rollins College,Nike Boys Soccer Camp at Rollins College,True
georgia,Atlanta,Nike Soccer Camp with Oglethorpe University,Nike Soccer Camp with Oglethorpe University,True
georgia,Brookhaven,Nike Soccer Camp in Brookhaven,Nike Soccer Camp in Brookhaven,True
georgia,Decatur,Nike Soccer Camp at Agnes Scott College,Nike Soccer Camp at Agnes Scott College,True
georgia,Marietta,Nike Soccer Camp at Life University,Nike Soccer Camp at Life University,True
georgia,Mount Berry,Nike Boys Soccer Camp Berry College,Nike Boys Soccer Camp Berry College,True
georgia,Norcoss,Nike Soccer Camp with Beestera Soccer Training - Gwinnett County,Nike Soccer Camp with Beestera Soccer Training - Gwinnett County,True
georgia,Rome,Nike Soccer Camp at the Darlington School,Nike Soccer Camp at the Darlington School,True
idaho,Boise,Nike Soccer Camp at Settlers Park in Meridian,Nike Soccer Camp at Settlers Park in Meridian,True
illinois,Aurora,Nike Soccer Camp at Aurora University,Nike Soccer Camp at Aurora University,True
illinois,Chicago,Nike Soccer Camp at North Park University,Nike Soccer Camp at North Park University,True
illinois,Crestwood,Nike Soccer Camp in Crestwood,Nike Soccer Camp in Crestwood,True
illinois,Dekalb,Nike Girls Soccer Camp at NIU - Collegiate Experience,Nike Girls Soccer Camp at NIU - Collegiate Experience,True
illinois,Evanston,Nike Soccer Camp in Evanston,Nike Soccer Camp in Evanston,True
illinois,Lake Forest,Nike Soccer Camp at Lake Forest Academy,Nike Soccer Camp at Lake Forest Academy,True
illinois,Libertyville,Nike Soccer Camp in Libertyville,Nike Soccer Camp in Libertyville,True
illinois,Loves Park,Nike Soccer Camp in Rockford,Nike Soccer Camp in Rockford,True
illinois,Oak Brook,Nike Soccer Camp at Oak Brook Sports Core,Nike Soccer Camp at Oak Brook Sports Core,True
illinois,Palatine,Nike Soccer Camp in Palatine,Nike Soccer Camp in Palatine,True
illinois,Romeoville,Nike Soccer Camp at Lewis University,Nike Soccer Camp at Lewis University,True
illinois,Schaumburg,Nike Soccer Camp in Schaumburg,Nike Soccer Camp in Schaumburg,True
illinois,Springfield,Nike Soccer Camp at University of Illinois Springfield,Nike Soccer Camp at University of Illinois Springfield,True
illinois,St. Charles,Nike Soccer Camp in St. Charles,Nike Soccer Camp in St. Charles,True
illinois,Winnetka,Nike Soccer Camp in Winnetka,Nike Soccer Camp in Winnetka,True
indiana,Columbus,Nike Soccer Camp at Indiana University Columbus,Nike Soccer Camp at Indiana University Columbus,True
iowa,Davenport,Nike Soccer Camp at St. Ambrose University,Nike Soccer Camp at St. Ambrose University,True
kansas,Olathe,Nike Soccer Camp at Homefield Kansas City,Nike Soccer Camp at Homefield Kansas City,True
kansas,Overland Park,Nike Soccer Camp in Kansas City,Nike Soccer Camp in Kansas City,True
louisiana,Metairie,Nike Boys College ID Soccer Camp - New Orleans,Nike Boys College ID Soccer Camp - New Orleans,True
maine,Gorham,Nike Soccer Camp University of Southern Maine,Nike Soccer Camp University of Southern Maine,True
maryland,Emmitsburg,Nike Soccer Camp in Emmitsburg,Nike Soccer Camp in Emmitsburg,True
maryland,Frederick,Nike Soccer Camp at Hood College,Nike Soccer Camp at Hood College,True
maryland,Gambrills,Nike Soccer Camp in Gambrills,Nike Soccer Camp in Gambrills,True
maryland,Glen Burnie,Nike Soccer Camp in Glen Burnie,Nike Soccer Camp in Glen Burnie,True
maryland,Hagerstown,Nike Soccer Camp in Hagerstown Fieldhouse,Nike Soccer Camp in Hagerstown Fieldhouse,True
maryland,Owings Mills,Nike Soccer Camp at Stevenson University,Nike Soccer Camp at Stevenson University,True
maryland,Rockville,Nike Soccer Camp with Next Star - Sofive Rockville &amp; Master Skills Clinics,Nike Soccer Camp with Next Star - Sofive Rockville &amp; Master Skills Clinics,True
maryland,Takoma Park,Nike Soccer Camp at Washington Adventist University,Nike Soccer Camp at Washington Adventist University,True
massachusetts,Andover,Nike Soccer Camp at Merrimack College,Nike Soccer Camp at Merrimack College,True
massachusetts,Attleboro,Nike Soccer Camp with Next Step Training - Attleboro,Nike Soccer Camp with Next Step Training - Attleboro,True
massachusetts,Boston,Nike Soccer Camp at Winsor School,Nike Soccer Camp at Winsor School,True
massachusetts,Braintree,Nike Soccer Camp at Thayer Sports Center,Nike Soccer Camp at Thayer Sports Center,True
massachusetts,Buzzards Bay,Nike Soccer Camp at Liverpool FC International Academy - Mass. Maritime Academy,Nike Soccer Camp at Liverpool FC International Academy - Mass. Maritime Academy,True
massachusetts,Dover,Nike Soccer Camp at Charles River School,Nike Soccer Camp at Charles River School,True
massachusetts,Framingham,Nike Soccer Camp at Framingham State University,Nike Soccer Camp at Framingham State University,True
massachusetts,Georgetown,Nike Soccer Camp at Georgetown High School,Nike Soccer Camp at Georgetown High School,True
massachusetts,Hingham,Nike Soccer Camp at Derby Academy,Nike Soccer Camp at Derby Academy,True
massachusetts,Manchester,Nike Soccer Camp at Brookwood School,Nike Soccer Camp at Brookwood School,True
massachusetts,Marlborough,Nike Soccer Camp at Fore Kicks II Sports Complex,Nike Soccer Camp at Fore Kicks II Sports Complex,True
massachusetts,Milton,Nike Soccer Camps at Milton Academy,Nike Soccer Camps at Milton Academy,True
massachusetts,Natick,Nike Soccer Camp with Next Step Training - Natick,Nike Soccer Camp with Next Step Training - Natick,True
massachusetts,Needham,Nike Soccer Camp powered by Steel Sports - Olin College,Nike Soccer Camp powered by Steel Sports - Olin College,True
massachusetts,Newton,Nike Soccer Camp at Newton South High School,Nike Soccer Camp at Newton South High School,True
massachusetts,osterville,Nike Soccer Camp at Liverpool FC International Academy - Cape Cod Academy,Nike Soccer Camp at Liverpool FC International Academy - Cape Cod Academy,True
massachusetts,Raynham,Nike Soccer Camp with Next Step Training - Raynham,Nike Soccer Camp with Next Step Training - Raynham,True
massachusetts,South Hadley,Nike Soccer Camp with Beestera Soccer Training - Mount Holyoke College,Nike Soccer Camp with Beestera Soccer Training - Mount Holyoke College,True
massachusetts,Tewksbury,Nike Soccer Camp with Next Step Training - Tewksbury,Nike Soccer Camp with Next Step Training - Tewksbury,True
massachusetts,Tyngsborough,Nike Soccer Camp with Beestera Soccer Training - Tyngsborough,Nike Soccer Camp with Beestera Soccer Training - Tyngsborough,True
massachusetts,Weymouth,Nike Soccer Camp with Next Step Training - Weymouth,Nike Soccer Camp with Next Step Training - Weymouth,True
massachusetts,Worcester,Nike Soccer Camp at Worcester State University,Nike Soccer Camp at Worcester State University,True
michigan,Ann Arbor,Nike Soccer Camp with Liverpool FC International Academy - Ann Arbor,Nike Soccer Camp with Liverpool FC International Academy - Ann Arbor,True
michigan,Detroit,Nike Soccer Camp at University of Detroit Mercy,Nike Soccer Camp at University of Detroit Mercy,True
michigan,Fenton,Nike Soccer Camp in Fenton,Nike Soccer Camp in Fenton,True
michigan,Ferndale,Nike Soccer Camp at Liverpool FC International Academy - South Oakland,Nike Soccer Camp at Liverpool FC International Academy - South Oakland,True
michigan,Grand Rapids,Nike Soccer Camp at Davenport University,Nike Soccer Camp at Davenport University,True
michigan,Pontiac,Nike Soccer Camp at Liverpool FC International Academy - Central,Nike Soccer Camp at Liverpool FC International Academy - Central,True
michigan,Saginaw,Nike Soccer Camp at Saginaw Valley State University,Nike Soccer Camp at Saginaw Valley State University,True
michigan,Waterford,Nike Soccer Camp at Waterford Township,Nike Soccer Camp at Waterford Township,True
minnesota,Faribault,Nike Soccer Camp at Shattuck - St. Mary's School,Nike Soccer Camp at Shattuck - St. Mary's School,True
minnesota,Mankato,Nike Soccer Camp at Minnesota State University Mankato,Nike Soccer Camp at Minnesota State University Mankato,True
minnesota,Stillwater,Nike Soccer Camp in Stillwater,Nike Soccer Camp in Stillwater,True
