State,City,Camp Name (JSON),Event Details (CSV),Matched
texas,Denton,Nike Soccer Camp at Texas Woman's University,Nike Soccer Camp at Texas Woman's University,True
texas,Houston,Nike Soccer Camp at Houston Christian University,Nike Soccer Camp at Houston Christian University,True
texas,Keller,Nike Soccer Camp in Keller,Nike Soccer Camp in Keller,True
texas,Live Oak,Nike Soccer Camps at Soccer Zone Live Oak,Nike Soccer Camps at Soccer Zone Live Oak,True
texas,New Braunfels,Nike Soccer Camp with UK Soccer School at HEB Soccer Complex,Nike Soccer Camp with UK Soccer School at HEB Soccer Complex,True
texas,Oak Ridge North,Nike Soccer Camp in The Woodlands,Nike Soccer Camp in The Woodlands,True
texas,Round Rock,Nike Soccer Camp in Austin - Round Rock Multipurpose Complex,Nike Soccer Camp in Austin - Round Rock Multipurpose Complex,True
texas,San Antonio,Nike Soccer Camp at St. Mary's University,Nike Soccer Camp at St. Mary's University,True
texas,Tomball,Nike Soccer Camp at Crossbar Academy - Tomball,Nike Soccer Camp at Crossbar Academy - Tomball,True
united-kingdom,Guildford,Nike Soccer Camp with Chelsea FC Foundation - Surrey Sports Park | Boys Performance | Ages 15-17,Nike Soccer Camp with Chelsea FC Foundation - Surrey Sports Park | Boys Performance | Ages 15-17,True
united-kingdom,Guildford,Nike Soccer Camp with Chelsea FC Foundation - Surrey Sports Park | Boys Performance | Ages 15-17,Liverpool FC Residential UK Football Camps - Boys Performance At Radley College | Ages 14-17,False
united-kingdom,Liverpool,Liverpool FC Residential UK Football Camps – Girls at Repton School | Ages 12-17,Liverpool FC Residential UK Football Camps – Girls at Repton School | Ages 12-17,True
united-kingdom,Liverpool,Liverpool FC Residential UK Football Camps – Girls at Repton School | Ages 12-17,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,False
united-kingdom,London,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,Nike Girls Soccer Camp at NIU - Collegiate Experience,False
united-kingdom,London,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,Nike Girls Soccer Camp at Adelphi University,False
united-kingdom,London,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,Nike Girls Soccer Camp at The Ellis School,False
united-kingdom,London,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,Liverpool FC Residential UK Football Camps – Girls at Repton School | Ages 12-17,False
united-kingdom,London,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,Nike Soccer Camp with Chelsea FC Foundation - Charterhouse | Girls | Ages 12-17,True
united-kingdom,Oxford,Liverpool FC Residential UK Football Camps - Boys Performance At Radley College | Ages 14-17,Liverpool FC Residential UK Football Camps - Boys Performance At Radley College | Ages 14-17,True
united-kingdom,Reading,Nike Soccer Camp with Chelsea FC Foundation - Bradfield College |  Boys | Ages 10-12,Nike Soccer Camp with Chelsea FC Foundation - Bradfield College |  Boys | Ages 10-12,True
utah,Farmington,Nike Soccer Camp in Farmington,Nike Soccer Camp in Farmington,True
utah,Park City,Nike Soccer Camp in Park City,Nike Soccer Camp in Park City,True
utah,Salt Lake City,Nike Soccer Camp at Westminster University,Nike Soccer Camp at Westminster University,True
utah,St. George,Nike Soccer Camp with JM Soccer Academy - St. George,Nike Soccer Camp with JM Soccer Academy - St. George,True
vermont,Bristol,Nike Soccer Camp with Beestera Soccer Training - Bristol,Nike Soccer Camp with Beestera Soccer Training - Bristol,True
vermont,Essex Junction,Nike Soccer Camp with Beestera Soccer Training - Essex,Nike Soccer Camp with Beestera Soccer Training - Essex,True
vermont,Stowe,Nike Soccer Camp with Beestera Soccer Training - Stowe,Nike Soccer Camp with Beestera Soccer Training - Stowe,True
virginia,Alexandria,Nike Soccer Camp at Episcopal High School,Nike Soccer Camp at Episcopal High School,True
virginia,Blacksburg,Nike Boys Collegiate Soccer Experience at Virginia Tech,Nike Boys Collegiate Soccer Experience at Virginia Tech,True
virginia,Fredericksburg,Nike Soccer Camp at Fredericksburg Field House,Nike Soccer Camp at Fredericksburg Field House,True
virginia,Leesburg,Nike Boys College ID Soccer Camp - Leesburg,Nike Boys College ID Soccer Camp - Leesburg,True
virginia,Manassas,Nike Soccer Camp in Manassas,Nike Soccer Camp in Manassas,True
virginia,Mechanicsville,Nike Soccer Camp at Sports Reality,Nike Soccer Camp at Sports Reality,True
virginia,Virginia Beach,Nike Soccer Camp at Virginia Beach Field House,Nike Soccer Camp at Virginia Beach Field House,True
virginia,Warrenton,Nike Soccer Camp in Warrenton,Nike Soccer Camp in Warrenton,True
washingtonstate,Burien,Nike Soccer Camp with Tacoma Stars - Burien,Nike Soccer Camp with Tacoma Stars - Burien,True
washingtonstate,Covington,Nike Soccer Camp with Tacoma Stars - Covington,Nike Soccer Camp with Tacoma Stars - Covington,True
washingtonstate,Enumclaw,Nike Soccer Camp with Tacoma Stars - Enumclaw,Nike Soccer Camp with Tacoma Stars - Enumclaw,True
washingtonstate,Federal Way,Nike Soccer Camp with Tacoma Stars - Federal Way,Nike Soccer Camp with Tacoma Stars - Federal Way,True
washingtonstate,Gig Harbor,Nike Soccer Camp with Tacoma Stars - Gig Harbor,Nike Soccer Camp with Tacoma Stars - Gig Harbor,True
washingtonstate,Maple Valley,Nike Soccer Camp with the Tacoma Stars - Summit Park,Nike Soccer Camp with the Tacoma Stars - Summit Park,True
washingtonstate,Redmond,Nike Soccer Camp with Tacoma Stars - Marymoor Park,Nike Soccer Camp with Tacoma Stars - Marymoor Park,True
washingtonstate,Renton,Nike Soccer Camp with Tacoma Stars - Fairwood,Nike Soccer Camp with Tacoma Stars - Fairwood,True
washingtonstate,Seattle,Nike Soccer Camp at Seattle University,Nike Soccer Camp at Seattle University,True
washingtonstate,Shoreline,College Soccer Academy iD Camp in Seattle - Girls,College Soccer Academy iD Camp in Seattle - Girls,True
washingtonstate,Spokane,Nike Soccer Camp in Spokane,Nike Soccer Camp in Spokane,True
washingtonstate,Sumner,Nike Soccer Camp with Tacoma Stars - Sumner,Nike Soccer Camp with Tacoma Stars - Sumner,True
washingtonstate,Tacoma,Nike Soccer Camp with Tacoma Stars - Fawcett Elementary School,Nike Soccer Camp with Tacoma Stars - Fawcett Elementary School,True
washingtonstate,Tukwila,Nike Soccer Camp with Tacoma Stars - Tukwila,Nike Soccer Camp with Tacoma Stars - Tukwila,True
washingtonstate,Tumwater,Nike Soccer Camp with the Tacoma Stars - Pioneer Park,Nike Soccer Camp with the Tacoma Stars - Pioneer Park,True
west-virginia,Charleston,Nike Soccer Camp at University of Charleston,Nike Soccer Camp at University of Charleston,True
wisconsin,Appleton,Nike Soccer Camp at Lawrence University,Nike Soccer Camp at Lawrence University,True
wisconsin,Beloit,Nike Soccer Camp at Beloit College,Nike Soccer Camp at Beloit College,True
wisconsin,Delafield,Nike Soccer Camp at Saint Johns Northwestern Academy,Nike Soccer Camp at Saint Johns Northwestern Academy,True
wisconsin,Glendale,Nike Soccer Camp in Whitefish Bay,Nike Soccer Camp in Whitefish Bay,True
wisconsin,Kenosha,Nike Soccer Camp at University of Wisconsin - Parkside,Nike Soccer Camp at University of Wisconsin - Parkside,True
wisconsin,Lake Geneva,Nike Soccer Camp in Lake Geneva,Nike Soccer Camp in Lake Geneva,True
wisconsin,Menomonee Falls,Nike Soccer Camp at Brookfield Sports Complex,Nike Soccer Camp at Brookfield Sports Complex,True
wisconsin,Waukesha,Nike Soccer Camp at Carroll University,Nike Soccer Camp at Carroll University,True
