No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
46,Nike Soccer Camp at San Diego State University,32.7174202,-117.162772,San Diego,CALIFORNIA,"JUN. 9 - JUN. 12, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$459 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$459 Tuition + $30 Registration Fee
47,Nike Soccer Camp St. Ignatius College Preparatory,37.7792588,-122.4193286,San Francisco,CALIFORNIA,"JUN. 16 - JUN. 20, 2025",Ages: 7 - 14,Co-Ed,All Skills,Morning Half Day 9am-12pm,$239 Tuition + $35 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 14,Co-Ed,All Skills,Morning Half Day 9am-12pm,$299 Tuition + $35 Registration Fee
,,,,,,"JUN. 30 - JUL. 3, 2025",Ages: 7 - 14,Co-Ed,All Skills,Afternoon Half Day 1pm-4pm,$239 Tuition + $35 Registration Fee
48,Nike Soccer Camp with Player One Performance - San Jose,37.3361663,-121.890591,San Jose,CALIFORNIA,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 14,Co-Ed,"Player ONE Performance (ages 11-14), Player ONE Playmakers (ages 6-10)",Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,"Player ONE Performance (ages 11-14), Player ONE Playmakers (ages 6-10)",Half Day 9:00am-12:00pm,$419 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 14,Co-Ed,"Player ONE Performance (ages 11-14), Player ONE Playmakers (ages 6-10)",Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
,,,,,,,,,"Player ONE Performance (ages 11-14), Player ONE Playmakers (ages 6-10)",Half Day 9:00am-12:00pm,$419 Tuition + $30 Registration Fee
50,Nike Soccer Camp with Blue Devils Soccer Academy,-5.2245897,151.5569677,New Britain,CONNECTICUT,"JUN. 24 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day: 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUN. 30 - JUL. 3, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day: 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
51,Nike Soccer Camp at Liverpool FC International Academy - Ridgefield Academy,41.2814842,-73.4981792,ridgefield,CONNECTICUT,"JUL. 28 - JUL. 31, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 9am-3pm,$529 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$369 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 14, 2025",Ages: 7 - 14,Co-Ed,All Skills,Day 9am-3pm,$529 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$369 Tuition + $30 Registration Fee
52,Nike Soccer Camp at The Hotchkiss School,51.0690613,-1.7954134,Salisbury,CONNECTICUT,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 14,Co-Ed,All Skills,Half Day: 9:00am-12:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Full-Day 9am-3:30pm,$529 Tuition + $30 Registration Fee
53,Nike Soccer Camp at the University of Hartford,41.7620447,-72.7420399,West Hartford,CONNECTICUT,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day: 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day Camp 9am-3pm,$419 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day: 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day Camp 9am-3pm,$419 Tuition + $30 Registration Fee
54,Nike Soccer Camp at University of New Haven,41.2706527,-72.9470471,West Haven,CONNECTICUT,"JUN. 23 - JUN. 27, 2025",Ages: 7 - 17,Co-Ed,All Skills,Half-Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$419 Tuition + $30 Registration Fee
55,Nike Soccer Camp  with FourSoccer - Washington DC,38.8950368,-77.0365427,Washington DC,DISTRICT-OF-COLUMBIA,"JUN. 30 - JUL. 3, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$349 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$349 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$349 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$349 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$349 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$349 Tuition + $30 Registration Fee
56,Nike Soccer Camp in Orlando,41.5235808,-90.5770967,Davenport,FLORIDA,"NOV. 24 - NOV. 26, 2025",Ages: 7 - 17,Co-Ed,All Skills,Half-Day 8:30am-12:30pm,$239 Tuition + $30 Registration Fee
57,Nike Soccer Camp in Port St. Lucie,27.4467056,-80.3256056,Fort Pierce,FLORIDA,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
58,Nike Soccer Camp with Beestera Soccer Training - The Bolles School,30.3321838,-81.655651,Jacksonville,FLORIDA,"JUL. 6 - JUL. 10, 2025",Ages: 10 - 18,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Overnight,"$1,299 Tuition + $40 Registration Fee"
,,,,,,,,,"Field Player, Goalkeeper",Extended Day 9am-9pm,$999 Tuition + $40 Registration Fee
60,Nike Soccer Camp at Eastern Florida State College,-37.8142454,144.9631732,Melbourne,FLORIDA,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$389 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Full-Day 9:00am-3:00pm,$389 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 14,Co-Ed,All Skills,Half-Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
61,Nike Soccer Camp in Miami,25.7741728,-80.19362,Miami,FLORIDA,"JUL. 7 - JUL. 11, 2025",Ages: 7 - 17,Co-Ed,All Skills,Half-Day 8:30am-12:00pm,$319 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 7 - 17,Co-Ed,All Skills,Half-Day 8:30am-12:00pm,$319 Tuition + $30 Registration Fee
62,Nike Soccer Camp with DivineTime Fantasy Fútbol - Orlando,28.5421109,-81.3790304,Orlando,FLORIDA,"JUL. 21 - JUL. 25, 2025",Ages: 7 - 15,Girls,All Skills,Day 9:00am - 12:00pm,$309 Tuition + $30 Registration Fee
63,Nike Soccer Camp at Saint Leo University,44.7171833,-96.0522574,Saint Leo,FLORIDA,"JUN. 2 - JUN. 6, 2025",Ages: 4 - 14,Co-Ed,All Skills,Full Day Camp 9:00am-4:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am - 12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 4 - 14,Co-Ed,All Skills,Full Day Camp 9:00am-4:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am - 12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 4 - 14,Co-Ed,All Skills,Full Day Camp 9:00am-4:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am - 12:00pm,$259 Tuition + $30 Registration Fee
64,Nike Soccer Camp at New College of Florida,27.3365805,-82.5308545,Sarasota,FLORIDA,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$369 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
65,Nike Soccer Camp with Beestera Soccer Training - Jacksonville,40.7183728,-90.4109616,St. Augustine,FLORIDA,"JUN. 9 - JUN. 13, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$249 Tuition + $30 Registration Fee
66,Nike Soccer Camp at Eckerd College,59.938732,30.316229,St. Petersburg,FLORIDA,"MAY. 27 - MAY. 30, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-4pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$239 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-4pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-4pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-4pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$299 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - JUL. 31, 2025",Ages: 6 - 16,Boys,All Skills,Day 9am-4pm,$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9am-12pm,$239 Tuition + $30 Registration Fee
67,Nike Soccer Camp at the University of South Florida,27.9477595,-82.458444,Tampa,FLORIDA,"JUN. 16 - JUN. 20, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day 9:00am - 3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day (9am-12pm),$299 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 8 - 16,Co-Ed,All Skills,Day 9:00am - 3:00pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day (9am-12pm),$299 Tuition + $30 Registration Fee
68,Nike Boys Soccer Camp at Rollins College,28.5977707,-81.3510264,Winter Park,FLORIDA,"JUL. 19 - JUL. 22, 2025",Ages: 10 - 18,Boys,All Skills,Extended 9:00am-9:00pm,$569 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$669 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-4:00pm,$469 Tuition + $40 Registration Fee
69,Nike Soccer Camp with Oglethorpe University,33.7544657,-84.3898151,Atlanta,GEORGIA,"JUN. 5 - JUN. 8, 2025",Ages: 6 - 18,Co-Ed,"Field Player, Goalkeeper",Extended Day 9am-9pm,$589 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Overnight,$689 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day 9am-4pm,$479 Tuition + $40 Registration Fee
,,,,,,"JUL. 10 - JUL. 13, 2025",Ages: 6 - 18,Co-Ed,"Field Player, Goalkeeper",Extended Day 9am-9pm,$589 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Overnight,$689 Tuition + $40 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Day 9am-4pm,$479 Tuition + $40 Registration Fee
70,Nike Soccer Camp in Brookhaven,31.5790667,-90.4407122,Brookhaven,GEORGIA,"JUN. 16 - JUN. 20, 2025",Ages: 4 - 13,Co-Ed,All Skills,Half Day Camp 9am-12pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 4 - 13,Co-Ed,All Skills,Half Day Camp 9am-12pm,$279 Tuition + $30 Registration Fee
71,Nike Soccer Camp at Agnes Scott College,39.8454163,-88.9524151,Decatur,GEORGIA,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-4:30pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12:45pm,$279 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$279 Tuition + $30 Registration Fee
72,Nike Soccer Camp at Life University,33.9528472,-84.5496148,Marietta,GEORGIA,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$279 Tuition + $30 Registration Fee
73,Nike Boys Soccer Camp Berry College,-64.4277795,-60.7396318,Mount Berry,GEORGIA,"JUN. 7 - JUN. 10, 2025",Ages: 9 - 13,Boys,All Skills,Extended Day 9am-9pm,$509 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$629 Tuition + $40 Registration Fee
,,,,,,"JUN. 11 - JUN. 14, 2025",Ages: 14 - 18,Boys,All Skills,Extended Day 9am-9pm,$509 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$629 Tuition + $40 Registration Fee
74,Nike Soccer Camp with Beestera Soccer Training - Gwinnett County,,,Norcoss,GEORGIA,"JUN. 16 - JUN. 20, 2025",Ages: 5 - 15,Co-Ed,"Field Player, Goalkeeper",Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
75,Nike Soccer Camp at the Darlington School,41.8933203,12.4829321,Rome,GEORGIA,"JUL. 6 - JUL. 9, 2025",Ages: 10 - 18,Co-Ed,All Skills,Extended Day 9am-9pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$669 Tuition + $40 Registration Fee
,,,,,,"JUL. 6 - JUL. 9, 2025",Ages: 10 - 18,Co-Ed,Goalkeeper,Extended Day 9am-9pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,Goalkeeper,Overnight,$669 Tuition + $40 Registration Fee
,,,,,,"JUL. 13 - JUL. 16, 2025",Ages: 10 - 18,Co-Ed,All Skills,Extended Day 9am-9pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$669 Tuition + $40 Registration Fee
,,,,,,"JUL. 13 - JUL. 16, 2025",Ages: 10 - 18,Co-Ed,Goalkeeper,Extended Day 9am-9pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,Goalkeeper,Overnight,$669 Tuition + $40 Registration Fee
,,,,,,"JUL. 16 - JUL. 19, 2025",Ages: 10 - 18,Co-Ed,All Skills,Extended Day 9am-9pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$669 Tuition + $40 Registration Fee
,,,,,,"JUL. 16 - JUL. 19, 2025",Ages: 10 - 18,Co-Ed,Goalkeeper,Extended Day 9am-9pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,Goalkeeper,Overnight,$669 Tuition + $40 Registration Fee
76,Nike Soccer Camp at Settlers Park in Meridian,43.6166163,-116.200886,Boise,IDAHO,"JUL. 7 - JUL. 10, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$419 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 17, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$419 Tuition + $30 Registration Fee
77,Nike Soccer Camp at Aurora University,41.7571701,-88.3147539,Aurora,ILLINOIS,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$399 Tuition + $30 Registration Fee
78,Nike Soccer Camp at North Park University,41.8755616,-87.6244212,Chicago,ILLINOIS,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$409 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$289 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$409 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$289 Tuition + $30 Registration Fee
79,Nike Soccer Camp in Crestwood,41.6611444,-87.7525511,Crestwood,ILLINOIS,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 17,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$259 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9am-4pm,$369 Tuition + $30 Registration Fee
80,Nike Girls Soccer Camp at NIU - Collegiate Experience,41.8903447,-88.7713953,Dekalb,ILLINOIS,"JUL. 21 - JUL. 23, 2025",Ages: 10 - 18,Girls,"All Skills (Ages 10-12), High School (Ages 13+)",Overnight,$579 Tuition + $40 Registration Fee
,,,,,,,,,"All Skills (Ages 10-12), High School (Ages 13+)",Extended Day 9am-9pm,$479 Tuition + $40 Registration Fee
81,Nike Soccer Camp in Evanston,42.0470043,-87.6846053,Evanston,ILLINOIS,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$519 Tuition + $30 Registration Fee
82,Nike Soccer Camp at Lake Forest Academy,42.2586461,-87.8407055,Lake Forest,ILLINOIS,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$529 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 25, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$529 Tuition + $30 Registration Fee
83,Nike Soccer Camp in Libertyville,40.9574491,-92.0514386,Libertyville,ILLINOIS,"AUG. 11 - AUG. 15, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$519 Tuition + $30 Registration Fee
84,Nike Soccer Camp in Rockford,42.3200189,-89.0581621,Loves Park,ILLINOIS,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-3pm,$429 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day (9am-12pm),$309 Tuition + $30 Registration Fee
86,Nike Soccer Camp at Oak Brook Sports Core,41.8328085,-87.9289504,Oak Brook,ILLINOIS,"JUN. 23 - JUN. 27, 2025",Ages: 6 - 17,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9am-4pm,$449 Tuition + $30 Registration Fee
,,,,,,"JUN. 30 - JUL. 1, 2025",Ages: 10 - 17,Co-Ed,All Skills,Day 9am-1pm,$219 Tuition + $10 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 17,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9am-4pm,$449 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 17,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9am-4pm,$449 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 17,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9am-4pm,$449 Tuition + $30 Registration Fee
87,Nike Soccer Camp in Palatine,42.1105779,-88.0336888,Palatine,ILLINOIS,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$469 Tuition + $30 Registration Fee
88,Nike Soccer Camp at Lewis University,41.6475306,-88.0895061,Romeoville,ILLINOIS,"JUN. 16 - JUN. 19, 2025",Ages: 9 - 15,Co-Ed,All Skills,Day 9:00am-4:00pm,$369 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 26, 2025",Ages: 9 - 15,Co-Ed,All Skills,Day 9:00am-4:00pm,$369 Tuition + $30 Registration Fee
89,Nike Soccer Camp in Schaumburg,42.0333608,-88.083406,Schaumburg,ILLINOIS,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9am-3pm,$469 Tuition + $30 Registration Fee
90,Nike Soccer Camp at University of Illinois Springfield,39.7990175,-89.6439575,Springfield,ILLINOIS,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 9am-3pm,$379 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$269 Tuition + $30 Registration Fee
91,Nike Soccer Camp in St. Charles,41.9139808,-88.3128183,St. Charles,ILLINOIS,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day (9am-12pm),$329 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9am-3pm,$459 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half-Day (9am-12pm),$329 Tuition + $30 Registration Fee
92,Nike Soccer Camp in Winnetka,42.1080703,-87.7365286,Winnetka,ILLINOIS,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$539 Tuition + $30 Registration Fee
93,Nike Soccer Camp at Indiana University Columbus,39.9622601,-83.0007065,Columbus,INDIANA,"JUN. 9 - JUN. 13, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day (9am-3pm),$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$229 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day (9am-3pm),$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$229 Tuition + $30 Registration Fee
94,Nike Soccer Camp at St. Ambrose University,41.5235808,-90.5770967,Davenport,IOWA,"JUN. 16 - JUN. 19, 2025",Ages: 8 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$179 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 10, 2025",Ages: 8 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$179 Tuition + $30 Registration Fee
,,,,,,"JUL. 21 - JUL. 24, 2025",Ages: 8 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$179 Tuition + $30 Registration Fee
95,Nike Soccer Camp at Homefield Kansas City,38.8838856,-94.81887,Olathe,KANSAS,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$249 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
96,Nike Soccer Camp in Kansas City,38.9742502,-94.6851702,Overland Park,KANSAS,"JUL. 28 - AUG. 1, 2025",Ages: 7 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$289 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Full Day (9:00am-3:00pm),$379 Tuition + $30 Registration Fee
97,Nike Boys College ID Soccer Camp - New Orleans,29.9899926,-90.1505426,Metairie,LOUISIANA,"JUN. 21 - JUN. 21, 2025",Ages: 13 - 20,Boys,"Field Player, Goalkeeper",Morning Session 9am-1pm,$199 Tuition + $10 Registration Fee
,,,,,,,,,"Field Player, Goalkeeper",Afternoon Session 2pm-6pm,$199 Tuition + $10 Registration Fee
98,Nike Soccer Camp University of Southern Maine,43.6797334,-70.4429592,Gorham,MAINE,"JUN. 30 - JUL. 3, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day Camp 9am-3pm,$329 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 9am-12pm,$229 Tuition + $30 Registration Fee
99,Nike Soccer Camp in Emmitsburg,39.7045417,-77.3269307,Emmitsburg,MARYLAND,"JUL. 24 - JUL. 27, 2025",Ages: 10 - 19,Co-Ed,All Skills,Extended 9:00am-7:30pm,$599 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Overnight,$699 Tuition + $40 Registration Fee
100,Nike Soccer Camp at Hood College,39.2127031,-78.279166,Frederick,MARYLAND,"JUN. 30 - JUL. 3, 2025",Ages: 5 - 12,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$219 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Full Day (9:00am-3:00pm),$309 Tuition + $30 Registration Fee
,,,,,,"JUL. 7 - JUL. 11, 2025",Ages: 5 - 12,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$259 Tuition + $30 Registration Fee
