No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender,Skills,Type,Payment
,,,,,,,,,All Skills,Overnight,$939 Tuition + $40 Registration Fee
,,,,,,,,,All Skills,Day (9am-4pm),$499 Tuition + $40 Registration Fee
12,Nike Soccer Camp at Sierra Canyon School,34.2572499,-118.6017022,Chatsworth,CALIFORNIA,"JUL. 14 - JUL. 18, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 8am-2pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 8am-11am,$349 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day Camp 8am-2pm,$489 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day Camp 8am-11am,$349 Tuition + $30 Registration Fee
13,Nike Soccer Camp in Chino,34.0133561,-117.690075,Chino,CALIFORNIA,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
14,Nike Soccer Camp at Claremont-Mudd-Scripps Colleges,34.0966764,-117.7197785,Claremont,CALIFORNIA,"JUN. 16 - JUN. 19, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$389 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$299 Tuition + $30 Registration Fee
15,College Soccer Academy iD Camp in Clovis - Girls,34.405472,-103.2050709,Clovis,CALIFORNIA,"MAY. 26 - MAY. 26, 2025",Ages: 13 - 20,Girls,"Field Player, Goalkeeper",Day 10:00am-2:00pm,$239 Tuition + $10 Registration Fee
16,Nike Soccer Camp at Vanguard University,33.6633386,-117.903317,Costa Mesa,CALIFORNIA,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$319 Tuition + $30 Registration Fee
17,Nike Soccer Camp at Sofive Covina,34.0877926,-117.8891164,Covina,CALIFORNIA,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 16,Co-Ed,All Skills,Half Day 9:00am-12:00pm,$269 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day 9:00am-3:00pm,$379 Tuition + $30 Registration Fee
18,Nike Soccer Camp with San Diego Surf - Del Mar,32.9594891,-117.2653146,Del Mar,CALIFORNIA,"JUN. 16 - JUN. 20, 2025",Ages: 6 - 13,Co-Ed,All Skills,Half Day (9:00am-12:00pm),$249 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
19,Nike Soccer Camp in Elk Grove,38.4087993,-121.3716178,Elk Grove,CALIFORNIA,"JUL. 7 - JUL. 11, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 6 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$399 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$279 Tuition + $30 Registration Fee
20,Nike Soccer Camp in Encinitas,33.0369867,-117.2919818,Encinitas,CALIFORNIA,"JUN. 30 - JUL. 3, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day (9:00am-3:00pm),$359 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$259 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - AUG. 1, 2025",Ages: 6 - 16,Co-Ed,All Skills,Day (9:00am-3:00pm),$409 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day (9am-12pm),$289 Tuition + $30 Registration Fee
21,Nike Soccer Camp with Solano Surf in Fairfield,39.7886111,-82.6418883,Fairfield,CALIFORNIA,"JUN. 23 - JUN. 26, 2025",Ages: 8 - 16,Girls,Elite,Half Day (9:00am-12:00am),$249 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 26, 2025",Ages: 8 - 16,Boys,Elite,Half Day (9:00am-12:00am),$249 Tuition + $30 Registration Fee
,,,,,,"JUL. 28 - JUL. 31, 2025",Ages: 5 - 14,Co-Ed,All Skills,Half Day (9:00am-12:00am),$229 Tuition + $30 Registration Fee
22,College Soccer Academy iD Camp in Orange County - Girls,33.7746292,-117.9463717,Garden Grove,CALIFORNIA,"JUL. 13 - JUL. 13, 2025",Ages: 13 - 20,Girls,"Field Player, Goalkeeper",Day 9:30am-1:30pm,$239 Tuition + $10 Registration Fee
23,Nike Soccer Camp at Glendale Sports Complex,34.1469416,-118.2478471,Glendale,CALIFORNIA,"JUN. 16 - JUN. 20, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"JUN. 23 - JUN. 27, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"JUL. 14 - JUL. 18, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"AUG. 4 - AUG. 8, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"AUG. 11 - AUG. 15, 2025",Ages: 5 - 14,Co-Ed,All Skills,Day 9:00am-3:00pm,$439 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$309 Tuition + $30 Registration Fee
,,,,,,"DEC. 22 - DEC. 24, 2025",Ages: 5 - 14,Boys,All Skills,Day 9:00am-3:00pm,$299 Tuition + $30 Registration Fee
,,,,,,,,,All Skills,Half Day 9:00am-12:00pm,$209 Tuition + $30 Registration Fee
