No,Event Details,Latitude,Longitude,City,State,Period,Age,Gender
1,Nike Soccer Camp at Embry-Riddle Aeronautical University - Academy,34.539984,-112.468812,,,"JUN. 8 - JUN. 13, 2025",8 - 17,Co-Ed
2,Nike Soccer Camp at Embry-Riddle Aeronautical University - Academy,34.539984,-112.468812,,,"JUL. 13 - JUL. 18, 2025",8 - 17,Co-Ed
